agent,card,chosen,share_of_non_pass_actions,market_exposure_turns,chosen_per_exposure_turn
random,move1,3809,0.299238,8406.000000,0.453129
random,move2,3347,0.262943,5652.000000,0.592180
random,mobilize,3458,0.271663,5817.000000,0.594465
random,capture,339,0.026632,10214.000000,0.033190
random,swap,1776,0.139524,6739.000000,0.263541
random,pass,5271,,,
rule,move1,4338,0.267497,11699.000000,0.370801
rule,move2,3450,0.212740,7088.000000,0.486738
rule,mobilize,2529,0.155947,10019.000000,0.252420
rule,capture,3448,0.212616,6266.000000,0.550271
rule,swap,2452,0.151199,4362.000000,0.562127
rule,pass,1783,,,
greedy,move1,4044,0.243351,12090.000000,0.334491
greedy,move2,3903,0.234866,6657.000000,0.586300
greedy,mobilize,2550,0.153448,10503.000000,0.242788
greedy,capture,3595,0.216332,5715.000000,0.629046
greedy,swap,2526,0.152004,4620.000000,0.546753
greedy,pass,1382,,,
minimax,move1,4950,0.307970,10480.000000,0.472328
minimax,move2,3249,0.202140,7164.000000,0.453518
minimax,mobilize,1913,0.119019,10837.000000,0.176525
minimax,capture,3567,0.221925,6473.000000,0.551058
minimax,swap,2394,0.148945,4463.000000,0.536410
minimax,pass,1927,,,
expectimax,move1,5007,0.319059,10095.000000,0.495988
expectimax,move2,3094,0.197158,7158.000000,0.432244
expectimax,mobilize,1835,0.116931,10618.000000,0.172820
expectimax,capture,3452,0.219971,6742.000000,0.512014
expectimax,swap,2305,0.146881,4397.000000,0.524221
expectimax,pass,2307,,,
mcts,move1,3353,0.252219,9772.000000,0.343123
mcts,move2,2876,0.216338,5748.000000,0.500348
mcts,mobilize,2727,0.205130,6883.000000,0.396194
mcts,capture,2283,0.171732,8971.000000,0.254487
mcts,swap,2055,0.154581,4862.000000,0.422666
mcts,pass,4706,,,
